2025-11-10 20:18:00 Auto fired at enemy
2025-11-10 20:18:00 Auto fired at enemy
2025-11-10 20:18:00 Auto fired at enemy
2025-11-10 20:18:00 Auto fired at enemy
2025-11-10 20:18:00 Auto fired at enemy
2025-11-10 20:18:00 Auto fired at enemy
2025-11-10 20:18:00 Auto fired at enemy
2025-11-10 20:18:00 Auto fired at enemy
2025-11-10 20:18:01 Auto fired at enemy
2025-11-10 20:18:01 Auto fired at enemy
2025-11-10 20:18:01 Auto fired at enemy
2025-11-10 20:18:01 Auto fired at enemy
2025-11-10 20:18:01 Auto fired at enemy
2025-11-10 20:18:01 Auto fired at enemy
2025-11-10 20:18:01 Auto fired at enemy
2025-11-10 20:18:01 Auto fired at enemy
2025-11-10 20:18:01 Auto fired at enemy
2025-11-10 20:18:02 Auto fired at enemy
2025-11-10 20:18:02 Auto fired at enemy
2025-11-10 20:18:02 Auto fired at enemy
2025-11-10 20:18:02 Auto fired at enemy
2025-11-10 20:18:02 Auto fired at enemy
2025-11-10 20:18:02 Auto fired at enemy
2025-11-10 20:18:02 Auto fired at enemy
2025-11-10 20:18:02 Auto fired at enemy
2025-11-10 20:18:02 Auto fired at enemy
2025-11-10 20:18:03 Auto fired at enemy
2025-11-10 20:18:03 Auto fired at enemy
2025-11-10 20:18:03 Auto fired at enemy
2025-11-10 20:18:03 Auto fired at enemy
2025-11-10 20:18:03 Auto fired at enemy
2025-11-10 20:18:03 Auto fired at enemy
2025-11-10 20:18:03 Auto fired at enemy
2025-11-10 20:18:03 Auto fired at enemy
2025-11-10 20:18:14 Auto fired at enemy
2025-11-10 20:18:14 Auto fired at enemy
2025-11-10 20:18:14 Auto fired at enemy
2025-11-10 20:18:14 Auto fired at enemy
2025-11-10 20:18:14 Auto fired at enemy
2025-11-10 20:18:14 Auto fired at enemy
2025-11-10 20:18:14 Auto fired at enemy
2025-11-10 20:18:14 Auto fired at enemy
2025-11-10 20:18:15 Auto fired at enemy
2025-11-10 20:18:15 Auto fired at enemy
2025-11-10 20:18:16 New wave coming...
2025-11-10 20:18:16 Spawned 10 enemies
2025-11-10 20:18:17 Auto fired at enemy
2025-11-10 20:18:17 Auto fired at enemy
2025-11-10 20:18:17 Auto fired at enemy
2025-11-10 20:18:17 Auto fired at enemy
2025-11-10 20:18:17 Auto fired at enemy
2025-11-10 20:18:17 Auto fired at enemy
2025-11-10 20:18:17 Auto fired at enemy
2025-11-10 20:18:17 Auto fired at enemy
2025-11-10 20:18:17 Auto fired at enemy
2025-11-10 20:18:17 Auto fired at enemy
2025-11-10 20:18:18 Auto fired at enemy
